"elevation","soil_type","Contrast","cv","Entropy","std","bio15","bio19","longitude","latitude","response","fold","bio1","bio12"
1664.97607421875,11783,333595.125,640.990417480469,29349.74609375,386.99462890625,89.5091323852539,60.6000289916992,98.133333,24.933333,1,3,17.7376270294189,1689.20031738281
51.3142204284668,11423.025390625,279450.5,882.825927734375,28941.958984375,540.897216796875,84.8494720458984,32.0399971008301,134.24,48.22,1,1,1.62795281410217,674.559143066406
1063.11462402344,11233,45073.40234375,1254.89770507812,25548.470703125,184.984832763672,32.3394813537598,25.5999984741211,89.53,46.98,1,3,3.38932609558105,153.99983215332
2654.41650390625,11727,190056.3125,788.965942382812,29152.927734375,394.983306884766,87.0666198730469,6.20003652572632,103.73,34.93,1,2,3.27183532714844,566.600219726562
266.139282226562,11407,255145.65625,710.163818359375,29141.189453125,399.096343994141,112.315246582031,11,125.47,49.4,1,1,-0.035110492259264,497.440032958984
431.180511474609,11910,129707.8671875,470.971160888672,26249.48828125,310.979339599609,106.92253112793,13,127.67,45.4,1,1,2.56240153312683,598.319396972656
297.664855957031,11406.1337890625,389363.125,1025.96374511719,29409.763671875,529.974853515625,106.611328125,14.8399887084961,127.37,45.3,1,1,3.20599985122681,575.280090332031
807.3349609375,11909,171630.59375,504.944183349609,27231.853515625,292.968963623047,123.727798461914,7.84006071090698,121.99,48.75,1,1,-1.06224048137665,493.879333496094
286.856384277344,11909,666386.875,1173.86291503906,29511.77734375,646.924194335938,115.18318939209,9.20013332366943,125.35,49.17,1,1,0.431905180215836,497.000061035156
291.505828857422,11112.146484375,405023.8125,888.950744628906,30072.501953125,468.980804443359,115.853080749512,8,125.25,49.08,1,1,0.573761701583862,493.720092773438
288.531311035156,11112,337609.09375,782.15185546875,27553.43359375,450.072723388672,115.7900390625,8,125.27,49.1,1,1,0.582835376262665,492.999938964844
1391.10400390625,11353,2731.08325195312,87.9951324462891,8161.4599609375,5.99966335296631,94.3007736206055,5,104.6911,38.0733,1,2,8.92612934112549,166.200164794922
1391.10400390625,11353,2731.08325195312,87.9951324462891,8161.4599609375,5.99966335296631,94.3007736206055,5,104.69114,38.073254,1,2,8.92612934112549,166.200164794922
